id,firstname,lastname,class,age
201,Dave,Finn,History,14
202,Katherine,Power,Gym,16
203,John,Malone,Algebra,16
204,Samuel,Bradley,Geometry,18
205,Hope,Taya,English,15
206,Vladimir,Morakov,English,16
207,Wild,One,English,15
208,Caryn,Wise,Algebra,15
209,Otto,Octavius,Geometry,14
210,Black,Cougar,Geometry,15
211,Sally,Avril,English,14
212,Nina,Mazursky,Algebra,16
213,Tubby,Watts,Gym,15
214,Mister,Magic,History,16
215,Jarras,Minion,History,14
216,Gunther,Van Horn,History,16
217,Esteban,Ortega,Algebra,14
218,Anakalak,Smith,Algebra,16
219,Rumaan,Harjavti,Algebra,17
220,Chantinelle,Murphy,Algebra,18
221,Augustus,James,History,17
222,Lucius,Gregory,English,17
223,Wire,Tap,History,15
224,Viktor,Burgos,Geometry,17
225,Hugh,Dare,History,15
226,William,Nasland,Geometry,15
227,Jeb,Turnbull,Algebra,17
228,Cyrus,Gold,Geometry,16
229,Pietro,Sapristi,Algebra,18
230,Henry,Enwhistle,History,16
231,Frederick,Tuckman,Geometry,17
232,Pyreus,Kril,Gym,14
